comparison,level,positives,negatives,flag
MiddleNM,exact,2543,25,OK
MiddleNM,initial_match,376,3,OK
MiddleNM,mismatch,665,694,OK
MiddleNM,null_either,12416,23278,OK
Sex_positive,M_vs_F,0,6702,RISK_OF_MISCALIBRATION
Sex_positive,OTHER_either,346,74,OK
Sex_positive,exact,12457,8324,OK
Sex_positive,null_either,3197,8900,OK
LastNM_DM,mismatch,4894,14033,OK
LastNM_DM,phonetic_equal,11106,9967,OK
FirstNM_DM,mismatch,2071,20688,OK
FirstNM_DM,null_either,10,0,RISK_OF_MISCALIBRATION
FirstNM_DM,phonetic_equal,13919,3312,OK
LastNM_Soundex,mismatch,3838,14007,OK
LastNM_Soundex,phonetic_equal,12162,9993,OK
DOB_swap,exact,15006,6604,OK
DOB_swap,mismatch,499,16906,OK
DOB_swap,month_day_swap,67,1,OK
DOB_swap,null_either,66,0,OK
DOB_swap,same_year,362,489,OK
ZipBase,exact,14322,9362,OK
ZipBase,mismatch,61,6145,OK
ZipBase,null_either,604,1287,OK
ZipBase,prefix3_match,1013,7206,OK
FullNameCompact,compact_exact,6916,1844,OK
FullNameCompact,mismatch,9084,22156,OK
Email_local,exact,4136,272,OK
Email_local,local_only,392,0,OK
Email_local,mismatch,360,2031,OK
Email_local,null_either,11112,21697,OK
