auto_merge_threshold,review_floor,n_AM,n_HR,n_NM,tp_AM,fp_AM,precision_AM,recall_AM,recall_AM_or_HR
0.85,0.35,2576,302,7122,1943,633,0.7542701863354038,0.9715,0.979
0.85,0.4,2576,285,7139,1943,633,0.7542701863354038,0.9715,0.9785
0.85,0.5,2576,236,7188,1943,633,0.7542701863354038,0.9715,0.9785
0.85,0.55,2576,212,7212,1943,633,0.7542701863354038,0.9715,0.978
0.9,0.35,2495,383,7122,1938,557,0.776753507014028,0.969,0.979
0.9,0.4,2495,366,7139,1938,557,0.776753507014028,0.969,0.9785
0.9,0.5,2495,317,7188,1938,557,0.776753507014028,0.969,0.9785
0.9,0.55,2495,293,7212,1938,557,0.776753507014028,0.969,0.978
0.925,0.35,2436,442,7122,1931,505,0.7926929392446633,0.9655,0.979
0.925,0.4,2436,425,7139,1931,505,0.7926929392446633,0.9655,0.9785
0.925,0.5,2436,376,7188,1931,505,0.7926929392446633,0.9655,0.9785
0.925,0.55,2436,352,7212,1931,505,0.7926929392446633,0.9655,0.978
0.95,0.35,2341,537,7122,1925,416,0.822298163178129,0.9625,0.979
0.95,0.4,2341,520,7139,1925,416,0.822298163178129,0.9625,0.9785
0.95,0.5,2341,471,7188,1925,416,0.822298163178129,0.9625,0.9785
0.95,0.55,2341,447,7212,1925,416,0.822298163178129,0.9625,0.978
